Sort,Population,Population_Code,Species,Variety,Sample,Well,Plate,Replicate,DNA_ug_ml,DNA_ug_ml_adj,Notes
1,Bluewood,BW,Eriogonum compositum,na,BW_01,A1,1,no,13.11,8.5875,
2,Bluewood,BW,Eriogonum compositum,na,BW_02,B1,1,no,15.73,11.2075,
3,Bluewood,BW,Eriogonum compositum,na,BW_03,C1,1,no,10.435,5.9125,
4,Bluewood,BW,Eriogonum compositum,na,BW_04,D1,1,no,17.235,12.7125,
5,Bluewood,BW,Eriogonum compositum,na,BW_05,E1,1,no,14.975,10.4525,
6,Bluewood,BW,Eriogonum compositum,na,BW_06,F1,1,no,19.06,14.5375,
7,Bluewood,BW,Eriogonum compositum,na,BW_07,G1,1,no,10.215,5.6925,
8,Bluewood,BW,Eriogonum compositum,na,BW_08,H1,1,no,10.975,6.4525,
9,Bluewood,BW,Eriogonum compositum,na,BW_09,A2,1,no,5.6,1.0775,
10,Bluewood,BW,Eriogonum compositum,na,BW_10,B2,1,no,6.35,1.8275,
11,Bluewood,BW,Eriogonum compositum,na,BW_11,C2,1,no,13.28,8.7575,
12,Bluewood,BW,Eriogonum compositum,na,BW_12,D2,1,no,4.785,0.2625,
13,Joseph,JS,ERUM,unk,JS_01,E2,1,no,38.155,33.6325,
14,Joseph,JS,ERUM,unk,JS_02,F2,1,no,23.345,18.8225,
15,Joseph,JS,ERUM,unk,JS_03,G2,1,no,31.92,27.3975,
16,Joseph,JS,ERUM,unk,JS_04,H2,1,no,31.26,26.7375,
17,Joseph,JS,ERUM,unk,JS_05,A3,1,no,23.91,19.3875,
18,Joseph,JS,ERUM,unk,JS_06,B3,1,no,16.21,11.6875,
19,Joseph,JS,ERUM,unk,JS_07,C3,1,no,26.57,22.0475,
20,Joseph,JS,ERUM,unk,JS_08,D3,1,yes,24.4,19.8775,
21,Joseph,JS,ERUM,unk,JS_09,E3,1,no,25.51,20.9875,
22,Joseph,JS,ERUM,unk,JS_10,F3,1,no,28.355,23.8325,
23,Joseph,JS,ERUM,unk,JS_11,G3,1,no,32.285,27.7625,
