"Plate","Well","ID"
"1A","A1","EE_B1_JC_41"
"1A","A2","EE_B1_JC_49"
"1A","A3","EE_B1_JC_57"
"1A","A4","EE_B1_JC_65"
"1A","A5","EE_B1_JC_73"
"1A","A6","EE_B1_JC_81"
"1A","A7","EE_AG_MD1230_442"
"1A","A8","EE_AG_PT1332_450"
"1A","A9","EE_AG_PL1432_458"
"1A","A10","EE_AG_SS1536_466"
"1A","A11","EE_AG_VM1636_474"
"1A","A12",NA
"1A","B1","EE_B1_JC_42"
"1A","B2","EE_B1_JC_50"
"1A","B3","EE_B1_JC_58"
"1A","B4","EE_B1_JC_66"
"1A","B5","EE_B1_JC_74"
"1A","B6","EE_B1_JC_82"
"1A","B7","EE_AG_MD1232_443"
"1A","B8","EE_AG_PT1333_451"
"1A","B9","EE_AG_PL1433_459"
"1A","B10","EE_AG_SS1537_467"
"1A","B11","EE_AG_VM1637_475"
"1A","B12",NA
"1A","C1","EE_B1_JC_43"
"1A","C2","EE_B1_JC_51"
"1A","C3","EE_B1_JC_59"
"1A","C4","EE_B1_JC_67"
"1A","C5","EE_B1_JC_75"
"1A","C6","EE_B1_JC_83"
"1A","C7","EE_AG_MD1233_444"
"1A","C8","EE_AG_PT1335_452"
"1A","C9","EE_AG_PL1438_460"
"1A","C10","EE_AG_VM1630_468"
"1A","C11",NA
"1A","C12",NA
"1A","D1","EE_B1_JC_44"
"1A","D2","EE_B1_JC_52"
"1A","D3","EE_B1_JC_60"
"1A","D4","EE_B1_JC_68"
"1A","D5","EE_B1_JC_76"
"1A","D6","EE_B1_JC_84"
"1A","D7","EE_AG_MD1234_445"
"1A","D8","EE_AG_PT1337_453"
"1A","D9","EE_AG_PL1439_461"
"1A","D10","EE_AG_VM1631_469"
"1A","D11",NA
"1A","D12",NA
"1A","E1","EE_B1_JC_45"
"1A","E2","EE_B1_JC_53"
"1A","E3","EE_B1_JC_61"
"1A","E4","EE_B1_JC_69"
"1A","E5","EE_B1_JC_77"
"1A","E6","EE_B1_JC_85"
"1A","E7","EE_AG_MD1238_446"
"1A","E8","EE_AG_PT1338_454"
"1A","E9","EE_AG_SS1530_462"
"1A","E10","EE_AG_VM1632_470"
"1A","E11",NA
"1A","E12",NA
"1A","F1","EE_B1_JC_46"
"1A","F2","EE_B1_JC_54"
"1A","F3","EE_B1_JC_62"
"1A","F4","EE_B1_JC_70"
"1A","F5","EE_B1_JC_78"
"1A","F6","EE_B1_JC_86"
"1A","F7","EE_AG_MD1239_447"
"1A","F8","EE_AG_PT1339_455"
"1A","F9","EE_AG_SS1531_463"
"1A","F10","EE_AG_VM1633_471"
"1A","F11",NA
"1A","F12",NA
"1A","G1","EE_B1_JC_47"
"1A","G2","EE_B1_JC_55"
"1A","G3","EE_B1_JC_63"
"1A","G4","EE_B1_JC_71"
"1A","G5","EE_B1_JC_79"
"1A","G6","EE_B1_JC_87"
"1A","G7","EE_AG_PT1330_448"
"1A","G8","EE_AG_PL1430_456"
"1A","G9","EE_AG_SS1534_464"
"1A","G10","EE_AG_VM1634_472"
"1A","G11",NA
"1A","G12",NA
"1A","H1","EE_B1_JC_48"
"1A","H2","EE_B1_JC_56"
"1A","H3","EE_B1_JC_64"
"1A","H4","EE_B1_JC_72"
"1A","H5","EE_B1_JC_80"
"1A","H6","EE_B1_JC_88"
"1A","H7","EE_AG_PT1331_449"
"1A","H8","EE_AG_PL1431_457"
"1A","H9","EE_AG_SS1535_465"
"1A","H10","EE_AG_VM1635_473"
"1A","H11",NA
"1A","H12",NA
"2A","A1","EE_B1_PV_93"
"2A","A2","EE_B1_PV_101"
